title,release_year,num_episodes,rating_type,rating_score,cast,short_description
The 1st Shop of Coffee Prince,2007,17,imdb,8.1,"Gong Yoo, Yoon Eun-hye, Lee Sun-kyun","A tomboy, mistaken for a lad, maintains the deception for the sake of employment. The situation becomes complicated when her male boss begins to develop feelings for this ""boy."""
Jewel in the Palace,2003–2004,54,imdb,8.4,"Lee Yeong-ae, Hong Ri-na, Ji Jin-hee","A series based on a real person in Korean history, Suh, Jang-geum."
The Great Queen Seondeok,2009,62,imdb,8.6,"Lee Joong-moon, Jeong Woong-in, Kim Jung-hyun","Story of Queen Seondeok who was born a princess, brought up among commoners and overcame many trials to become the ruler of Silla."
Hwang Jin Yi,2006,24,imdb,7.9,"Ha Ji-Won, Jo Sung-ha, Jeon Mi-seon","This story is about the life of Joseon-era dancer, musician and poet, Hwang Jin Yi, who seeks perfection in her art relentlessly and the hardship facing women due to their lowly social status."
Damo,2003,14,imdb,7.5,"Ha Ji-Won, Lee Seo-jin, Kim Min-joon","Damo, a historical kdrama, revolves are three characters who are pigeon-holed by society. They each want society to change to offer different opportunities. Their lives become intertwined as they each reach for their individual destinies."
What Happened in Bali,2004,20,imdb,7.5,"Ha Ji-Won, So Ji-seob, Zo In-sung","Lee Soo Jung is scraping by as a tour guide in Bali, supporting herself and her deadbeat older brother. When she's hired as tour guide to an unusual threesome, her life changes forever. Kang In Wook is poor but ambitious, climbing the ranks of the corporate world. His college girlfriend Choi Young Joo has broken up with him in order to marry a rich man instead. Immediately having doubts about her decision, she decides to have one last hurrah with her ex-boyfriend before getting married, in the form of a trip to Bali. To their surprise, Young Joo's fiance, disaffected heir Jung Jae Min, also shows up to torment the two out of boredom. The four learn more about each other than they bargained for on the course of the tour. When they all return to Seoul for various reasons, they find themselves thrown together again, and confusion surrounding love and money soon fills their lives. Three powerhouse stars come together for this psychologically gripping and complex drama that you won't stop watching."
Boys Over Flowers,2009,25,imdb,7.7,"Ku Hye-Sun, Lee Min-ho, Kim Hyun-joong","Geum Jan Di gets a scholarship to the elite Shin Hwa High School. She is picked on by Gu Jun Pyo, one of the richest and most popular students, but soon Jun Pyo finds himself attracted to her."
Painter of the Wind,2008,20,imdb,7.9,"Park Shin-yang, Ryu Seung-ryong, Bae Soo-bin","Shin Yoon Bok is a very talented painter who disguises herself as a boy so she can infiltrate the painting academy to improve her art--and search for her father's murderer. Kim Hong Do is the man who teaches Yoon Bok how to paint and falls in love with his apprentice, not knowing that he is a she."
Hello My Teacher,2005,16,imdb,6.9,"Gong Yoo, Kong Hyo-jin, Nam Chang-hee","A disgraced alumna becomes a teacher at the school that expelled her, hoping to stay close to an old flame. Her path to redemption involves helping a defiant student, despite facing resistance from hostile colleagues."
Autumn in My Heart,2000,16,imdb,7.9,"Kim Hae-sook, Song Seung-heon, Song Hye-kyo","The story is about two childhood friends, Joon-suh and Eun-suh, who grew up together but were forced to part ways when Eun-suh's family moved away. Many years later, they meet again by chance and rekindle their friendship."
Winter Sonata,2002,20,imdb,7.9,"Choi Ji-woo, Bae Yong-jun, Park Yong-ha","Jun-sang transfers to You-jin's school, and they quickly become friends sharing their similar backgrounds of growing up under a single mother."
Full House,2004,16,imdb,7.8,"Song Hye-kyo, Rain, Han Da-gam","In a bid to reacquire her childhood home, a free-spirited woman agrees to a sham-marriage with a selfish actor. Their daily lives are complicated by overlapping love triangles and comic misadventures."
Stairway to Heaven,2003–2004,20,imdb,7.8,"Kwon Sang-woo, Choi Ji-woo, Shin Hyeon-jun","There exists a love in the human heart that cannot be erased forever. Because it was believed that this love exists only in heaven, people continue to search for a stairway to heaven."
Princess Hours,2006,24,imdb,7.6,"Yoon Eun-hye, Ju Ji-hoon, Song Ji-hyo","Love, tradition, and politics collide when a spirited young art student is betrothed to the crown prince of South Korea."
The World That They Live In,2008,16,imdb,7.4,"Hyun Bin, Song Hye-kyo, Uhm Ki-joon",Story of lives of drama directors.
My Girl,2005–2006,16,imdb,7.8,"Lee Da-hae, Lee Dong-wook, Lee Joon-gi","With a perpetually indebted father, Joo Yoo Rin learned to lie on the spot and get herself out of tricky situations, which gets Seol Gong Chan, a rich heir to a company, to hire her to impersonate his long lost cousin."
